Date,Close,Volume
2024-07-16,1557.4681396484375,9386838
2024-07-18,1567.7689208984375,12298374
2024-07-19,1536.61962890625,13140390
2024-07-22,1482.793701171875,19674376
2024-07-23,1470.1708984375,18052044
2024-07-24,1477.8779296875,11913362
2024-07-25,1474.6171875,12519876
2024-07-26,1491.044189453125,9859940
2024-07-29,1501.9871826171875,7538550
2024-07-30,1495.1199951171875,8228208
2024-07-31,1487.4869384765625,10057346
2024-08-01,1497.244384765625,10764222
2024-08-02,1481.4595947265625,10268248
2024-08-05,1430.0792236328125,17046704
2024-08-06,1438.700439453125,10236186
2024-08-07,1447.3707275390625,8174568
2024-08-08,1431.85791015625,12387192
2024-08-09,1456.7330322265625,6249776
2024-08-12,1443.220947265625,8184584
2024-08-13,1446.1851806640625,6265064
2024-08-14,1444.4312744140625,6267466
2024-08-16,1460.5863037109375,9416902
2024-08-19,1475.65625,13797742
2024-08-20,1483.1416015625,8411808
2024-08-21,1485.8433837890625,7769996
2024-08-22,1485.2979736328125,10445782
2024-08-23,1487.1322021484375,9249654
2024-08-26,1499.6490478515625,8816114
2024-08-27,1487.6031494140625,6251156
2024-08-28,1485.4715576171875,9610286
2024-08-29,1507.90283203125,38335358
2024-08-30,1496.6995849609375,41620730
2024-09-02,1503.267822265625,11240852
2024-09-03,1496.203857421875,10923800
2024-09-04,1501.5823974609375,11983304
2024-09-05,1480.192138671875,16264168
2024-09-06,1452.2830810546875,19394228
2024-09-09,1449.9283447265625,9010298
2024-09-10,1449.0113525390625,10768260
2024-09-11,1439.0721435546875,9760202
2024-09-12,1467.1298828125,22349376
2024-09-13,1460.016357421875,8711328
2024-09-16,1458.752197265625,5481774
2024-09-17,1459.6942138671875,5935328
2024-09-18,1450.919921875,8574714
2024-09-19,1457.0916748046875,16955902
2024-09-20,1473.2025146484375,30897320
2024-09-23,1480.5887451171875,8832314
2024-09-24,1476.6229248046875,17137444
2024-09-25,1481.15869140625,7069002
2024-09-26,1485.12451171875,18818998
2024-09-27,1513.10791015625,20597478
2024-09-30,1463.9324951171875,27008814
2024-10-01,1452.2830810546875,16431642
2024-10-03,1394.928466796875,37757294
2024-10-04,1374.653564453125,37072876
2024-10-07,1358.9888916015625,22181340
2024-10-08,1385.3858642578125,17020808
2024-10-09,1362.8306884765625,14310610
2024-10-10,1359.31103515625,22358646
2024-10-11,1360.35205078125,7980122
2024-10-14,1360.7734375,12221432
2024-10-15,1332.5174560546875,33762794
2024-10-16,1342.4813232421875,20034438
2024-10-17,1344.811279296875,15543660
2024-10-18,1347.66162109375,12082452
2024-10-21,1357.476806640625,14067408
2024-10-22,1331.8482666015625,15831960
2024-10-23,1327.0645751953125,17214742
2024-10-24,1328.3287353515625,22155934
2024-10-25,1316.4808349609375,18597496
2024-10-28,1322.9251708984375,10824350
2024-10-29,1328.52685546875,12008361
2024-10-30,1332.3935546875,11984423
2024-10-31,1320.64501953125,9331650
2024-11-01,1327.1884765625,2127335
2024-11-04,1291.0009765625,19796890
2024-11-05,1294.1240234375,16267479
2024-11-06,1314.002197265625,21625209
2024-11-07,1294.470947265625,9611974
2024-11-08,1272.758544921875,19814406
2024-11-11,1261.802978515625,9056552
2024-11-12,1263.33984375,10671091
2024-11-13,1241.3299560546875,14633633
2024-11-14,1256.746826171875,12612633
2024-11-18,1249.9554443359375,13620611
2024-11-19,1231.0189208984375,14183746
2024-11-21,1212.528564453125,19433843
2024-11-22,1254.565673828125,20471957
2024-11-25,1275.9805908203125,28923341
2024-11-26,1284.6060791015625,9247557
2024-11-27,1282.1275634765625,9572746
2024-11-28,1259.91943359375,15027412
2024-11-29,1281.1361083984375,13202307
2024-12-02,1297.9410400390625,11024152
2024-12-03,1311.969970703125,16869482
2024-12-04,1297.74267578125,19608540
2024-12-05,1310.7305908203125,16858723
2024-12-06,1300.320556640625,9037514
2024-12-09,1284.0609130859375,14650002
2024-12-10,1273.8489990234375,16043729
2024-12-11,1267.2559814453125,11724373
2024-12-12,1252.0870361328125,20906813
2024-12-13,1261.9517822265625,28630222
2024-12-16,1257.4407958984375,9486781
2024-12-17,1234.6378173828125,17462791
2024-12-18,1242.5196533203125,12670179
2024-12-19,1219.914794921875,14244653
2024-12-20,1194.9803466796875,20312896
2024-12-23,1211.834716796875,10052824
2024-12-24,1212.2808837890625,6734917
2024-12-26,1206.1339111328125,10016178
2024-12-27,1210.595458984375,7000397
2024-12-30,1200.3338623046875,8818766
2024-12-31,1205.043212890625,6405475
2025-01-01,1210.7935791015625,5892590
2025-01-02,1231.167724609375,15486276
2025-01-03,1240.4376220703125,15521102
2025-01-06,1207.571533203125,14816766
2025-01-07,1230.2257080078125,10070505
2025-01-08,1254.664794921875,19346579
2025-01-09,1244.0068359375,12794704
2025-01-10,1231.266845703125,8120332
2025-01-13,1229.234375,13764861
2025-01-14,1228.143798828125,13095266
2025-01-15,1241.478515625,9578856
2025-01-16,1255.6065673828125,14117603
2025-01-17,1291.19921875,29366277
2025-01-20,1294.272705078125,14040244
2025-01-21,1262.7945556640625,14562976
2025-01-22,1266.16552734375,10273590
2025-01-23,1252.8306884765625,8720682
2025-01-24,1235.6292724609375,14235970
2025-01-27,1218.82421875,9536019
2025-01-28,1223.8310546875,10568025
2025-01-29,1224.921630859375,5928156
2025-01-30,1242.3214111328125,9269259
2025-01-31,1254.2681884765625,6584612
2025-02-01,1253.7724609375,7118453
2025-02-03,1235.232666015625,9252345
2025-02-04,1274.196044921875,16691069
2025-02-05,1267.2559814453125,10112028
2025-02-06,1270.577392578125,9956001
2025-02-07,1255.8544921875,8764283
2025-02-10,1242.916259765625,6970972
2025-02-11,1224.2772216796875,8859714
2025-02-12,1206.1339111328125,21131654
2025-02-13,1205.6876220703125,8511216
2025-02-14,1206.827880859375,10298145
2025-02-17,1214.4124755859375,8166683
2025-02-18,1214.908203125,6673250
2025-02-19,1216.9404296875,6217338
2025-02-20,1222.4429931640625,7795582
2025-02-21,1217.634521484375,6904025
2025-02-24,1204.151123046875,7172498
2025-02-25,1193.69140625,11552182
2025-02-27,1196.7647705078125,11509215
2025-02-28,1189.82470703125,23007298
2025-03-03,1161.2216796875,17944938
2025-03-04,1151.9517822265625,11377373
2025-03-05,1165.534423828125,8664095
2025-03-06,1199.2432861328125,14468014
2025-03-07,1239.0992431640625,16474965
2025-03-10,1227.796875,11931051
2025-03-11,1236.62060546875,10089838
2025-03-12,1246.2872314453125,11977555
2025-03-13,1237.2154541015625,9505270
2025-03-17,1228.242919921875,16640917
2025-03-18,1228.242919921875,0
2025-03-19,1236.471923828125,16162399
2025-03-20,1258.283447265625,15971477
2025-03-21,1265.421875,21780769
2025-03-24,1290.951416015625,20299319
2025-03-25,1274.4439697265625,13713899
2025-03-26,1262.150146484375,12074747
2025-03-27,1267.2559814453125,15028056
2025-03-28,1264.1824951171875,18147129
2025-04-01,1241.8751220703125,12099648
2025-04-02,1240.4376220703125,10142590
2025-04-03,1238.008544921875,7434366
2025-04-04,1194.38525390625,17908652
2025-04-07,1155.71923828125,22156106
2025-04-08,1172.0780029296875,19555040
2025-04-09,1175.2010498046875,10223104
2025-04-11,1208.5133056640625,11224242
2025-04-15,1229.4822998046875,13378535
2025-04-16,1228.689208984375,8248464
2025-04-17,1263.5877685546875,15398401
2025-04-21,1284.407958984375,10429964
2025-04-22,1280.1446533203125,13051707
2025-04-23,1288.869384765625,10480888
2025-04-24,1290.4556884765625,10468940
2025-04-25,1289.2659912109375,14431012
2025-04-28,1357.080322265625,31104496
2025-04-29,1387.7156982421875,32538970
2025-04-30,1392.9703369140625,25480745
2025-05-02,1407.6436767578125,13007841
2025-05-05,1419.0452880859375,12685649
2025-05-06,1408.7342529296875,14084117
2025-05-07,1393.9617919921875,13440169
2025-05-08,1394.9532470703125,16106175
2025-05-09,1365.408447265625,13668904
2025-05-12,1424.20068359375,10674081
2025-05-13,1403.5787353515625,11407896
2025-05-14,1412.2042236328125,5570160
2025-05-15,1441.7491455078125,20177211
2025-05-16,1443.9302978515625,9036695
2025-05-19,1428.4638671875,6195791
2025-05-20,1412.402587890625,11270560
2025-05-21,1416.963134765625,6136364
2025-05-22,1397.332763671875,12134466
2025-05-23,1414.5838623046875,6474883
2025-05-26,1422.5152587890625,4842944
2025-05-27,1409.9239501953125,12640414
2025-05-28,1400.802734375,5944611
2025-05-29,1405.660888671875,13771917
2025-05-30,1408.7342529296875,13788484
2025-06-02,1401.5958251953125,8098668
2025-06-03,1393.4661865234375,11252626
2025-06-04,1411.31201171875,8126827
2025-06-05,1430.0501708984375,13716817
2025-06-06,1431.1407470703125,8182161
2025-06-09,1436.3953857421875,7885125
2025-06-10,1426.1834716796875,7913181
2025-06-11,1436.4945068359375,8195700
2025-06-12,1429.257080078125,8828114
2025-06-13,1415.67431640625,9757276
2025-06-16,1425.4896240234375,8458093
2025-06-17,1418.946044921875,10366599
2025-06-18,1417.85546875,6681735
2025-06-19,1421.0281982421875,10007230
2025-06-20,1453.6463623046875,29010635
2025-06-23,1444.326904296875,5989078
2025-06-24,1438.3782958984375,16402744
2025-06-25,1454.737060546875,7525851
2025-06-26,1482.497314453125,14657893
2025-06-27,1502.4251708984375,11117052
2025-06-30,1487.7518310546875,8409527
2025-07-01,1515.3138427734375,10368523
2025-07-02,1505.7960205078125,6361002
2025-07-03,1504.8046875,11283291
2025-07-04,1514.223388671875,6603501
2025-07-07,1528.3016357421875,7251074
2025-07-08,1524.4349365234375,7171261
2025-07-09,1505.9942626953125,8870660
2025-07-10,1504.2095947265625,10047129
2025-07-11,1482.3980712890625,7234991
2025-07-14,1470.9964599609375,10311846
2025-07-15,1472.6820068359375,8132454
2025-07-16,1472.8802490234375,10409983
2025-07-17,1463.7591552734375,11854613
2025-07-18,1463.362548828125,10296318
2025-07-21,1416.3682861328125,22442744
2025-07-22,1400.70361328125,20396320
2025-07-23,1412.402587890625,8354596
2025-07-24,1390.888427734375,14740507
2025-07-25,1379.7841796875,11854722
2025-07-28,1375.71923828125,7748361
2025-07-29,1404.9666748046875,10750072
2025-07-30,1398.026611328125,7209849
2025-07-31,1378.2969970703125,17065827
2025-08-01,1381.76708984375,10321171
2025-08-04,1399.4146728515625,6312820
2025-08-05,1379.7841796875,9315972
2025-08-06,1380.874755859375,5834312
2025-08-07,1377.5040283203125,9976705
2025-08-08,1356.0888671875,8793606
2025-08-11,1374.331298828125,9997486
2025-08-12,1368.5810546875,12244664
2025-08-13,1370.7620849609375,7457021
2025-08-14,1367.4774169921875,7126128
2025-08-18,1375.3409423828125,11785109
2025-08-19,1413.564208984375,14384719
2025-08-20,1406.4969482421875,8725641
2025-08-21,1418.24267578125,11021323
2025-08-22,1402.71435546875,5818868
2025-08-25,1406.0987548828125,5979407
2025-08-26,1378.5262451171875,12145259
2025-08-28,1379.521728515625,13161813
2025-08-29,1350.9537353515625,18758842
2025-09-01,1347.6689453125,11232238
2025-09-02,1360.2109375,11517006
2025-09-03,1366.2828369140625,7847563
2025-09-04,1353.0440673828125,13223177
2025-09-05,1368.671875,5777575
2025-09-08,1372.15576171875,6986720
2025-09-09,1369.8662109375,9754452
2025-09-10,1370.66259765625,7790815
2025-09-11,1376.9337158203125,9766072
2025-09-12,1388.579833984375,7403368
2025-09-15,1392.8599853515625,5396697
2025-09-16,1398.8323974609375,8686961
2025-09-17,1407.2933349609375,7519417
2025-09-18,1408.4876708984375,9332642
2025-09-19,1400.9227294921875,13461373
2025-09-22,1384.199951171875,7757970
2025-09-23,1383.40380859375,14014702
2025-09-24,1376.635009765625,5922759
2025-09-25,1366.0838623046875,11411143
2025-09-26,1371.2598876953125,9879109
2025-09-29,1366.48193359375,14231999
2025-09-30,1357.722412109375,14604684
2025-10-01,1362.4007568359375,12045916
2025-10-03,1357.125244140625,12842347
2025-10-06,1368.671875,12396580
2025-10-07,1378.4267578125,11244040
2025-10-08,1361.1068115234375,8525081
2025-10-09,1371.458984375,8826633
2025-10-10,1375.3409423828125,6373084
2025-10-13,1368.671875,7600682
2025-10-14,1369.5677490234375,9768174
2025-10-15,1367.97509765625,10882743
2025-10-16,1391.8646240234375,12315932
2025-10-17,1410.279541015625,19335561
2025-10-20,1460.04931640625,24721978
2025-10-21,1458.4566650390625,2066169
2025-10-23,1441.7340087890625,18707090
2025-10-24,1444.9193115234375,9700837
2025-10-27,1477.2696533203125,14113867
2025-10-28,1480.056884765625,17631577
2025-10-29,1497.277099609375,11884745
2025-10-30,1481.6494140625,9318663
2025-10-31,1479.5592041015625,8758053
2025-11-03,1477.866943359375,8452085
2025-11-04,1466.3203125,10007806
2025-11-06,1489.2144775390625,16772678
2025-11-07,1471.19775390625,7821765
2025-11-10,1482.44580078125,7068438
2025-11-11,1486.5269775390625,7127506
2025-11-12,1504.5435791015625,12384459
2025-11-13,1503.9464111328125,7196443
2025-11-14,1511.9095458984375,7682823
2025-11-17,1511.3123779296875,5871416
2025-11-18,1512.4072265625,11045042
2025-11-19,1511.9095458984375,5692366
2025-11-20,1541.9705810546875,18171724
2025-11-21,1539.4820556640625,9615271
2025-11-24,1528.831298828125,18433951
2025-11-25,1532.61376953125,15033482
2025-11-26,1562.6748046875,14054299
2025-11-27,1556.2047119140625,9794643
2025-11-28,1560.285888671875,8959508
2025-12-01,1558.892333984375,8920233
2025-12-02,1539.1834716796875,11389150
2025-12-03,1531.718017578125,6090883
2025-12-04,1528.53271484375,11867930
2025-12-05,1533.5096435546875,10183266
2025-12-08,1535.898681640625,11301491
2025-12-09,1522.3612060546875,11503971
2025-12-10,1529.8267822265625,7991629
2025-12-11,1537.889404296875,4706197
2025-12-12,1549.3365478515625,5106655
2025-12-15,1549.037841796875,5774543
2025-12-16,1535.201904296875,11731856
2025-12-17,1537.292236328125,7116649
2025-12-18,1537.292236328125,6580829
2025-12-19,1557.8968505859375,13937275
2025-12-22,1568.1495361328125,10184852
2025-12-23,1563.4710693359375,7506564
2025-12-24,1551.0286865234375,8815745
2025-12-26,1552.0240478515625,2311495
2025-12-29,1538.4866943359375,5972105
2025-12-30,1532.71337890625,8815884
2025-12-31,1563.172607421875,5771830
2026-01-01,1568.3485107421875,6408128
2026-01-02,1584.9718017578125,6602230
2026-01-05,1570.8370361328125,8704973
2026-01-06,1500.6614990234375,27417125
2026-01-07,1497.277099609375,11199340
2026-01-08,1463.831787109375,16518684
2026-01-09,1468.51025390625,8335311
2026-01-12,1476.373779296875,8883745
2026-01-13,1446.11376953125,13499760
2026-01-14,1452.086181640625,8321764
2026-01-15,1452.086181640625,0
2026-01-16,1451.1903076171875,17167161
2026-01-19,1407.0941162109375,20392765
2026-01-20,1387.5843505859375,13189498
2026-01-21,1398.1356201171875,17352720
2026-01-22,1396.0452880859375,15721693
2026-01-23,1379.720703125,9837802
2026-01-27,1374.146484375,26302396
2026-01-28,1390.2718505859375,11121657
2026-01-29,1384.59814453125,20846683
2026-01-30,1388.9779052734375,11239835
2026-02-02,1384.0009765625,15711165
2026-02-03,1430.4859619140625,25456171
2026-02-04,1450.095458984375,8333387
2026-02-05,1436.757080078125,11763658
2026-02-06,1444.123046875,8277304
2026-02-09,1454.873291015625,5775864
2026-02-10,1451.7874755859375,10259630
2026-02-11,1461.9405517578125,7106877
2026-02-12,1442.231689453125,11135399
2026-02-13,1413.0665283203125,10755693
2026-02-16,1430.4859619140625,5896514
2026-02-17,1416.450927734375,10731630
2026-02-18,1434.666748046875,5521096
2026-02-19,1403.0130615234375,11884664
2026-02-20,1412.8675537109375,8177670
2026-02-23,1421.4278564453125,7758856
2026-02-24,1422.2242431640625,12529409
2026-02-25,1392.063720703125,10728792
2026-02-26,1400.3255615234375,16683858
2026-02-27,1387.48486328125,12031440
2026-03-02,1351.75,23728722
2026-03-04,1338.8099365234375,32495007
2026-03-05,1383.005615234375,25957532
2026-03-06,1398.334716796875,19311971
2026-03-09,1417.4462890625,24870822
2026-03-10,1402.3162841796875,18071259
2026-03-11,1383.8017578125,21848087
2026-03-12,1385.7926025390625,20939959
2026-03-13,1374.3455810546875,17265090
2026-03-16,1388.6793212890625,22837802
2026-03-17,1391.167724609375,19007744
2026-03-18,1401.6195068359375,9559327
2026-03-19,1378.4267578125,16498373
2026-03-20,1407.8905029296875,22994918
2026-03-23,1401.3209228515625,18979554
2026-03-24,1405.302490234375,18620893
2026-03-25,1406.596435546875,19041331
2026-03-27,1341.8956298828125,23266517
2026-03-30,1337.7149658203125,24393861
2026-04-01,1362.8984375,14404619
2026-04-02,1344.2845458984375,21280051
2026-04-06,1298.6953125,29274881
2026-04-07,1298.5958251953125,28388922
2026-04-08,1341.5970458984375,21817543
2026-04-09,1323.87890625,20725390
2026-04-10,1343.9859619140625,19364461
2026-04-13,1309.0474853515625,28753269
2026-04-15,1337.9140625,15313779
2026-04-16,1337.1177978515625,30211012
2026-04-17,1358.7178955078125,13869105
2026-04-20,1357.0257568359375,13614733
2026-04-21,1347.07177734375,27293629
2026-04-22,1355.8311767578125,9525953
2026-04-23,1337.21728515625,16385079
2026-04-24,1321.6890869140625,11744802
2026-04-27,1359.51416015625,24673098
2026-04-28,1382.5078125,41027699
2026-04-29,1418.83984375,30542143
2026-04-30,1424.215087890625,30957881
2026-05-01,1424.215087890625,0
2026-05-04,1456.3663330078125,24035700
2026-05-05,1456.864013671875,23543341
2026-05-06,1431.2823486328125,14221786
2026-05-07,1429.590087890625,19816903
2026-05-08,1428.5947265625,8663105
2026-05-11,1381.81103515625,15261787
2026-05-12,1357.722412109375,24357500
2026-05-13,1352.54638671875,13797989
2026-05-14,1355.5325927734375,17303059
2026-05-15,1330.24951171875,19976192
2026-05-18,1329.7518310546875,13022473
2026-05-19,1316.6124267578125,21665501
2026-05-20,1353.442138671875,13248515
2026-05-21,1343.388671875,17150630
2026-05-22,1348.26611328125,7105813
2026-05-25,1360.7086181640625,6750071
2026-05-26,1350.0579833984375,13769747
2026-05-27,1344.2845458984375,13215138
2026-05-28,1344.2845458984375,0
2026-05-29,1315.119384765625,42634247
2026-06-01,1313.9249267578125,10700603
2026-06-02,1308.5498046875,23302785
2026-06-03,1307.15625,20012293
2026-06-04,1297.699951171875,23474327
2026-06-05,1291.0,17785223
2026-06-08,1263.300048828125,16494759
2026-06-09,1269.199951171875,23620214
2026-06-10,1258.800048828125,21012796
2026-06-11,1263.0,13117486
2026-06-12,1293.0,11988785
2026-06-15,1307.0,18633321
2026-06-16,1328.800048828125,18513223
2026-06-17,1332.699951171875,10029170
2026-06-18,1328.0999755859375,15494549
2026-06-19,1309.5,24887034
2026-06-22,1326.5,12931213
2026-06-23,1309.5,15400184
2026-06-24,1313.5999755859375,11030917
2026-06-25,1318.0999755859375,12694362
2026-06-26,1318.0999755859375,0
2026-06-29,1301.0,13757656
2026-06-30,1293.9000244140625,15695263
2026-07-01,1308.0,7001401
2026-07-02,1303.5,17795024
2026-07-03,1304.0,7839550
2026-07-06,1321.300048828125,7610709
2026-07-07,1308.4000244140625,14335554
2026-07-08,1275.9000244140625,19960868
2026-07-09,1279.800048828125,14651963
2026-07-10,1307.800048828125,8412537
2026-07-13,1296.9000244140625,9488352
2026-07-14,1293.0,13511284
2026-07-15,1295.5,9577965
